,LDL,HDL,Cholesterol,Creatinine,Triglyceride
not_infectious_diseases,6492319.36,2469238.3021,10824904.344,44770.07,9686646.5086
infectious_diseases,3162714.3837,1211068.65,5290670.8903,22273.68,4741274.583
Malign_neoplasms,410512.652,154991.16,683614.95,2981.73,615305.86
not_Malign_neoplasms,9244521.0917,3525315.7921,15431960.2843,64062.02,13812615.2316
Obesity,427541.158,164037.17,716698.074,2681.88,648122.935
not_Obesity,9227492.5857,3516269.7821,15398877.1603,64361.87,13779798.1566
Thyroid_dis,2573219.8709,996473.67,4278595.5194,16588.84,3672762.456
not_Thyroid_dis,7081813.8728,2683833.2821,11836979.7149,50454.91,10755158.6356
neoplasms_unknown,455205.118,176337.28,757608.5,3122.88,651615.14
not_neoplasms_unknown,9199828.6257,3503969.6721,15357966.7343,63920.87,13776305.9516
anemia,3466975.868,1359042.9092,5802371.51,25340.39,5056619.9876
not_anemia,6188057.8757,2321264.0429,10313203.7243,41703.36,9371301.104
vitamin_deficiency,3478160.4137,1355085.9541,5804911.9053,23834.2,5020124.294
not_vitamin_deficiency,6176873.33,2325220.998,10310663.329,43209.55,9407796.7976
lipoprotein_met_dis,5368110.7168,1985492.808,9014975.918,37327.43,8702789.8146
not_lipoprotein_met_dis,4286923.0269,1694814.1441,7100599.3163,29716.32,5725131.277
hematologic_dis,131275.088,50943.52,222400.59,1054.09,207159.18
not_hematologic_dis,9523758.6557,3629363.4321,15893174.6443,65989.66,14220761.9116
endocrine_other,2494887.0148,981042.72,4186872.729,18286.13,3642171.191
not_endocrine_other,7160146.7289,2699264.2321,11928702.5053,48757.62,10785749.9006
bipolar_affective_dis,167444.47,63045.5,284282.5,1152.21,274084.11
not_bipolar_affective_dis,9487589.2737,3617261.4521,15831292.7343,65891.54,14153836.9816
not_depression,7568779.2097,2888782.5729,12641295.5213,52984.18,11335888.378
not_depression,7568779.2097,2888782.5729,12641295.5213,52984.18,11335888.378
anxiety_dis,1688392.914,639344.96,2812854.409,11328.59,2515249.874
not_anxiety_dis,7966640.8297,3040961.9921,13302720.8253,55715.16,11912671.2176
Other_mental_dis,576286.734,217412.41,963441.992,4149.79,883545.007
not_Other_mental_dis,9078747.0097,3462894.5421,15152133.2423,62893.96,13544376.0846
not_neuropathies,8195918.3129,3117844.8921,13674672.8303,56807.24,12254248.3006
neuropathies,1459115.4308,562462.06,2440902.404,10236.51,2173672.791
not_diabetic_nueropathy,8003351.6917,3045988.9241,13337340.9663,55131.73,11859626.924
diabetic_nueropathy,1651682.052,634318.028,2778234.268,11912.02,2568294.1676
not_nervous_sys_dis,7784653.3077,2971158.0921,12992789.9333,53960.1,11616592.5036
nervous_sys_dis,1870380.436,709148.86,3122785.301,13083.65,2811328.588
not_cataract,9109644.1297,3469951.8421,15207336.2424,62744.12,13638914.9316
cataract,545389.614,210355.11,908238.9919,4299.63,789006.16
not_retinopathy,8324783.3617,3166025.9933,13888830.1973,56158.74,12435160.8786
retinopathy,1330250.382,514280.9588,2226745.037,10885.01,1992760.213
not_refraction_dis,6865700.7657,2617762.6529,11465371.5854,47998.91,10270282.555
refraction_dis,2789332.978,1062544.2992,4650203.6489,19044.84,4157638.5366
not_ischemic_heart_dis,7173173.3889,2726932.2792,11922877.3023,46442.28,10472070.9496
ischemic_heart_dis,2481860.3548,953374.6729,4192697.932,20601.47,3955850.142
